19	2	Which of the following can overcome the Coulomb Force?	High temperature and high pressure	Low temperature and high pressure	High temperature and low pressure	Low temperature and low pressure
20	2	Which of the following prevents a star from collapsing as a result of gravity?	Energy released from the fusion of hydrogen atoms provides outward pressure	The fusion of hydrogen atoms decreases the temperature of the star	The gravitational pull of other stars nearby	The Weak Interaction
21	2	How are supermassive stars different from other stars?	Fusion occurs very fast	Fusion occurs very slow	Fusion occurs in the reverse order	Fusion does not occur at all
22	2	Which of the following is the FIRST product of two hydrogen atoms fusing together?	Deuterium	Oxygen	Helium	Beryllium
23	2	Once hydrogen atoms get close enough together, which of the following keeps them together?	The Strong Force	The Electromagnetic Force	Gravity	The Weak Interaction
24	2	When two nuclei fuse together, how does the mass of the combined nucleus compare to the mass of each of the original nucleus?	The mass of the combined nucleus is smaller	The mass of the combined nucleus is larger	The mass of the combined nucleus is the same	It is not possible for two nuclei to fuse together
25	2	If we say that our Sun is a main sequence star, what does that tell us about the Sun?	Hydrogen atoms in the Sun are fusing together and becoming Helium	The Sun is a supermassive star	The Sun does not experience the force of Gravity but does experience the Coulomb Force	The Sun is comprised of 10 million Hydrogen atoms
26	2	Which force would cause a massive cloud of hydrogen atoms to move together?	Gravity	Strong Force	Weak Interaction	Electromagnetic Force
27	2	Which of the following occurs as density increases?	Temperature increases	Volume increases	Mass increases	None of these are correct
28	2	Which of the following is a product of Hydrogen fusion?	Helium	Oxygen	Cesium	Carbon
29	2	Which of the following terms accurately describes the Sun?	Main sequence star	Supermassive star	Alternative sequence star	None of the above
30	2	Which of the following terms best describes a fusion reaction?	Ignition	Combustion	Decomposition	Displacement
31	0	Which of the following lists of particles is ordered from smallest to largest?	Electron, proton, nucleus, atom	Atom, electron, proton, nucleus	Electron, nucleus, atom, neutron	Neutron, nucleus, electrom, atom
32	0	Which of the following defines what element an atom is?	Its number of protons	Its number of neutrons	Its number of electrons	Its mass
33	0	Suppose that in some atom, a proton is converted into a neutron. What changes as a result of this conversion?	The atom's element	The atom's mass (in atomic mass units)	The atom's velocity	None of these are correct
34	0	Which of the following lists is ordered from smallest to largest?	Star, solar system, galaxy, universe	Galaxy, solar system, Milky Way, universe	Planet, galaxy, star, solar system	Earth, solar system, universe, galaxy
35	0	Which of the following are located in the nucleus of an atom?	Protons and neutrons	Only protons	Only electrons	Neutrons and electrons
36	0	Which of the following has the least mass?	An electron	A proton	A neutron	A hydrogen atom
37	0	What percent of an atom's space does its nucleus occupy?	Less than 1%	10%	50%	More than 90%
38	0	In the famous equation attributed to Albert Einstein, E = mc^2, what does the letter "m" represent?	Mass	Momentum	Moment of inertia	Moles
39	0	If I were to heat up an inflated balloon, which of the the following would occur?	The balloon would expand	The balloon would shrink	None of these answers are correct	The balloon could expand or shrink depending on whether it's filled with air or helium gas
